plate,reviewer_comments
KOFFN13,"COFFIN, 13-GANG"
RLJ 13,13-GANG
72ROJO,ROJO-RED-GANG. CUSTOMER HAS A '72 CHEVY
9R3OR13,13-GANG
WTF4MEE,WTF
BLULN73,"BLUE LINE, LAW ENFORCEMENT"
FLY G65O,BAY AREA AREA CODE. NOT CUSTOMERS AREA CODE
ONE GEE,G-GANGSTER
POO MNY,POO MONEY
RID RDYE,RIDE OR DIE. CUSTOMER'S LAST NAME IS DYE
UTOO PID,YOU STUPID
C69GLID,NO 69 VEHICLE FOUND
SUM BCH1,SUM BITCH… LIKE A SLURRED COUNTRY ACCENT SAYING SON OF A BITCH… SOME BEACH IS A BLAKE SHELTON SONG. SIMILAR PLATES OUT AND CURRENT.
EFFINRT,"effin' right, fucking right"
H8 DNVER,hate
NA FTMFW,for the motherfucking win
SHLLONG,schlong means penis
STPDBKR,stupid biker
STY F8ED,"stay faded, faded=high"
TAKOS,taco=female anatomy
THRUX 13,"13=gang number, no 2013 car"
TMY TCO,taco=female anatomy
14BMWX1,"14=hate symbol, has 2014 BMW"
68BL ITT,"bullet, ani only shows 2015 Ford UT, so it's not a Mustang (like from the movie Bullit)"
69AMX XX,"no 69 on ani, also xxx=porn"
8OXXX8O,xxx=porn
8PRITI8,"88=hate symbol, no 88 car"
DK CHIEF,dick chief
PEENT,peen=penis
RUB#ME2,rub me could have sexual connotations
IFM$NMF,mf=motherfucker
$ON4 M5,"hard on for m5, sexual"
AREDHEL,a red hell
RACH 14,"14=hate symbol, no 2014 car"
GNFHTR,hater or fighter
BGBLKLB,big black little bitch or lazy bastard…or lb=pound
DJ BUSH,bush=pubic hair. It is his last name
ERJRN13,"13=gang number, no 2013 car"
LOKNLWD,gun reference
MAY28 18,18=hate symbol
MY ZANEX,xanax= a prescription drug
NYATYOU,pulled because of 'you' … not you?
SLK4KLS,kills
S 4PLAAA,foreplay
1PRSVR3,"13=gang number, no 2013 car"
RDE HELL,Hell (motorcycle plate)
HAGAR JP,"JP-JAP RACIAL SLUR, NO JEEP ON RECORD"
BLKMDWF,BLACK MIDWIFE?
D25O522,"WAS A OLD ""TIN"" NUMBER"
MELPLAS,"ME LA PELAS IN MEXICAN SLAND IT MEANS ""YOU AIN'T SHIT"""
OPTSHFK,FK-FUCK
69 VW T2,NO 69 VEHICLE ON RECORD
WPN CO,WEAPON?
BLKENND,BLACKENED?
EUC CUC,"NOT INTIALS-CUC ON URBAN SAYS ""CUC"" MEANS SHIT IN CHINESES"
HLY SHIZ,HOLY SHIT
LAW TACO,RACIAL?
NATBORN,NATURAL BORN COULD THIS OFFEND?
STOLITT,STOLE IT LIKE THE CAR?
THSNUTS,NUTS?
BATTWNG,"WHEN A MAN STRETCHES HIS TESTICLE SKIN TO MAKE IT LOOK LIKE A ""BAT WING""… ALSO A COMIC BOOK CHARACTER."
BD AZ69,BAD ASS 69. HAS A 69 CHEVY
BOSS AF,BOSS AS FUCK
G19M69C,1969 GMC. NO 69 GMC ON RECORD
INDICA7,WEED
SOMOIST,SO MOIST
SOUP G,G-GANGSTER
TWNS 13,13-GANG
VAG KO4,VAG-VAGINA
WTFS DAT,WHAT THE FUCK'S THAT?
YASH G,G-GANGSTER
1973 ESE,ESE- GANG NICKNAME
88DURAN,88-HITLER. BIRTH YEAR CONFIRMED AS 1988
SNO$W18,18-HITLER
$TNTTGL,TNT
DHILL88,88-HITLER
GUTNICK,"CUSTOMER'S LAST NAME. STILL LOOKS A LITTLE HOSTILE. ""TO GUT"" SOMEONE."
H8TRUK,HATE
1YUNGB,ONE YOUNG BITCH. LAST NAME IS BULLION.
H8 DUST,HATE
IDFWU Z,I DON’T FUCK WITH YOU
NIZ13,13-GANG. CUSTOMER'S (SHOWN) INITIALS ARE N.N.
PUGZ818,CUSTOMER'S BURBANK AREA CODE
RAM HER,ROUGH SEX… RAM
RED2015,RED-GANG. NO 2015 VEHICLE
SCRY G,G-GANGSTER
SKUMFUK,SCUM FUCK. COULDN’T VERIFY BAND NAME.
13E13 G,13-GANG
6TTT88,88-HITLER. BIRTH YEAR CONFIRMED AS 1988
HORDE13,13-GANG
TKDK619,CUSTOMER'S SAN DIEGO AREA CODE
916IPMC,SACRAMENTO AREA CODE
DD WANDA,DOUBLE D WANDA. MIDDLE INITIAL IS D.
SOUL RED,REG-GANG. 2015 SOUL RED PULLS UP A RED MAZDA
14VIPER,14-HITLER. COULDN'T VERIFY 2014 VEHICLE
NUG RUN,NUG-WEED
69BEETL,69 SEXUAL REFERENCE
ROSE OG,OG ORIGINAL GANGSTER
CHI$RED,RED
13B RX4,13 GANG REFERENCE
MABU69,69 SEXUAL REFERENCE
AHIJUNA,CAN NOT TRANSLATE
NIDFWU,NO I DON’T FUCK WITH YOU
SLW88,88 HITLER REFERENCE
STY LFTD,STAY LIFTED AS IN SPIRITS OR MEANING HIGH
SUBIC 69,69 SEXUAL REFERENCE
RBBLUE,BLUE
BOS PIMP,BOSS PIMP
CASS OLE,LOOKS  AND SOUNDS LIKE ASS HOLE
C FOXY 69,69 SEXUAL REFERENCE
DA DOOK,DOOK LOOKS LIKE DOOKIE OR A REFERENCE TO SHIT
G 8818,"G AS IN GANGSTER, 88 AS IN HITLER AND 18 AS ION HITLER"
LOKLOKG,LOC LOC G LOC AS IN CRIP G AS IN GANGSTER
OH FUCK,OH FUCK
SBD 13,13 GANG REFERENCE
SPRCHUX,LOOKS LIKE SPEAR CHUCKS AS IN SPEAR CHUCKER DEROGATORY TERM FOR AN AFRICAN OR BLACK PERSON
TUG 1 OUT,SEXUAL REFERENCE
TUNA 4X4,TUNA IS A SEXUAL REFERENCE
T13 4WD,13 GANG REFERENCE
YRAPUNK,YOURE A PUNK
6YUEMA9,69 SEXUAL REFERENCE
8THAN 18,18 HITLER REFERENCE
$MY CNT,LOVE MY CUNT
TALU$18,18 HITLER REFERENCE
MHJPUFA,PUFFA AS IN SMOKING
PEAK 13,13 GANG REFERENCE
ARSLYN,LOOKS SIMILAR TO ARSEN
BLU BSHL,BLUE
BLU ZUB,BLUE
BSMC 209,209 STOCKTON
DRTYSBY,DIRTY
DUTTIN HH,HH HAIL HITLER
ROX6911,69 SEXUAL REFERENCE
SHTHAPN,SHIT HAPPEN
STIG 14,14 GANG REFERENCE
TRAN1 AM,LOOKS LIKE TRANI AS IN TRANS SEXUAL
TUJEFE1,BOSS GANG
TUT88,HITLER REFERENCE
ZO650 HP,650 AREA CODE
1 JR 8T8,88 HITLER REFERENCE
2 MNKIES,2 MONKEYS MONKEY IS A SEXUAL REFERENCE
BOS BLU,BLUE
SCW DRVR,SCREW DRIVER LIKE SCREW YOU DRIVER
8CIRCE8,88 HITLER REFERENCE
UMF TYTY,UMF-UGLY MOTHER FUCKER
INDNWAY,INDIAN WAY-OFFENSIVE?
THEJEW,JEW?
BAEBRUL,"BAE- CAN MEAN SHIT IN DANISH. URBAN HAS 2 DIFFIRENT MEANINGS THE OTHER IS ""BABE"""
BBANGZ9,"BANG MEANS TO HAVE SEX. HIS NAME IS ""ALBERTO A DIAZ"" NO BANG IN THERE"
BDAS468,BAD ASS
BRADA55,BRAD ASS. NO 55 CAR
CHAVZ13,13-GANG NUMBER
JIGGYD1,JIGGY IS SLANG FOR SEX
JT S 69,NO 69 REGISTERED
LVBUG 69,NO 69 VW BUT THEY DO HAVE A 1970
OH HARO,"MAKING FUN OF THE WAY ASIAN SAYS ""OH HELLO"" URBAN SAYS THE SAME THING"
OLD RED6,RED-GANG COLOR
OPUSUPO,"OH PUSSY FORWARDS AND BACKWARDS. NO NAME IT IS A COMPANY THAT IS ORDERING IT ""SUPOWITZ INK PERRIN B"""
PSE BOW,PSE-PORN STAR EXPERIENCE  1748 UP 371 DOWN
PUCKREF,FUCK REF
SABI13JI,13-GANG NUMBER
SONDAGO,DAGO-ITALIAN SLUR
WHITMN 1,"DOES IT LOOK LIKE ""WHITEMAN 1""?"
69UNCUT,UNCUT-PENIS? HE DOES HAVE A 69 CAR
805SOUL,805 SIMI VALLEY AREA CODE
KILFAM$,"KILL FAMILY? THEIR LAST NAME IS ""KIL"""
4MYL$BS,BS-BULLSHIT
FNK4FN,FN-FUCKEN
YNK LOV,YANKEE OFFENSIVE?  MEMORIAL PLATE
B BANGA,BANG MEANS TO HAVE SEX. NOT HIS LAST NAME
FANGOUL,"MEANS ""FUCK YOU"" IN ITALIAN"
CLETITA,"DOES IT LOOK LIKE ""CLIT""?"
KOFUCAR,GO FUCK YOU CAR
ME DFWU,DFWU-DON'T FUCK WITH YOU
OMA18HA,18-HITLER RELATED
LJGNAF,AF-AS FUCK.  NAF-NICE ASS FUCK
A FEB 14,14-HITLER
ASAL42O,420-WEED. BIRTHDAY CONFIRMED AS 4/20
BLUNSTY,BLUNTS-WEED
CB HASH,HASH-WEED
DBLUE79,BLUE-GANG
FOR818B,818-CUSTOMERS THOUSAND OAKS AREA CODE
GNZ DZL,GUNS DEISEL. GONZALEZ IS CUSTOMERS' LAST NAME
LUFWFFE,LUFTWAFFE WAS THE NAME FOR THE GERMAN AIR FORCE. STARTED BACK UP FOR WW2.
REP 88,88-HITLER
RX4LD5O,"LD50-""An LD50 is a standard measurement of acute toxicity that is stated in milligrams (mg) of pesticide per kilogram (kg) of body weight. An LD50 represents the individual dose required to kill 50 percent of a population of test animals (e.g., rats, fish, mice, cockroaches)"""
4O8 WNSR,408-SAN JOSE AREA CODE
XING88,88-HITLER
THE 5FS,"THE 5 F'S COULD REPRESENT SEXUAL TERMS: FIND, FOLLOW/FEED, FINGER, FUCK, FORGET OR FAITH, FITNESS, FAMILY, FRIENDS, FINANCE."
CALLME B,CALL ME BITCH?
CTCH2NA,CATCH TUNA. SEXUAL? CUSTOMER LIVES IN SAN CLEMENTE
SKURPPP,"URBAN SAYS ""THE SOUND A CAR MAKES, BASICALLY SQUEELING TIRES"" AND  ""To use the hand, especially the fingers to cup, tickle, and violate the genital region of another person, especially the testicles."""
5SIX2OG,562 IS THE CUSTOMER'S AREA CODE. OG.
88 NV,88-HITLER
LIMA 13,13-GANG
TJ4O1,401 IS THE CUSTOMER'S LONG BEACH AREA CODE
AFU G37,COULDN’T VERIFY AMERICAN FILIPINO UNITED.
BANG ON,HAVE SEX. BANG.
BOMB 5O,BOMB-EXPLOSIVE. BOMB-SUPER COOL.
BOOBERS,BOOB
BOS SHT,SHIT
DNT HATE,HATE
D SMASH,DICK SMASH
MAUID14,14-HITLER
MURDRAM,MURDER AM..
NFS2GIV,NO FUCKS TO GIVE
TEPA51O,510-OAKLAND AREA CODE
35OM3,3SOME WITH NUMBERS?
41FIVIN,415IN.. CUSTOMERS SAN FRANCISCO AREA CODE
707 OMG,707- SANTA ROSA AREA CODE
CFF88,88-HITLER
F T PGS,FUCK THE PIGS?
GRMN$13,13-GANG
13$K828,13-GANG
BULSCAT,BULLSHIT
B747 SFO,747- SAN FERNANDO VALLEY AREA CODE. B747 IS ALSO A PLANE
GTWY M27,M27 IS A MILITARY GUN
G8RHA8R,GATOR HATER
KY ROCK,KY-JELLY… DOESN'T EXPLAIN KY
KY ROCKS,SAME AS ABOVE
MERLY 69,NO 69 VERIFIED
RKT 8T8,88-HITLER
ARJ1969,NO 69 CAR
BALI 69,NO 69 CAR
BIHT ME,"BITE ME, A COUPLE ARE OUT & 1 UNACCEPT"
BLACKOP,BLACK OPS=SECRET MISSION CARRIED OUT BY A MILITARY ORGANIZATION
CMCBRAH,"CMC=casa mi cago=I almost shit myself, used in Spanish slang like LOL"
CRAXFYR,CRACK (DRUG) CRAX IS A BIRD THO AND HE IS A FIREFFIGHTER
DEDSPIN,DEAD?
DIRTY V,DIRTY VAGINA
DK 8 TS,ATE
DURTBAG,DEROGATORY
FBI BOB,FBI=LAW ENFORCEMENT
FKNDUDE,FUCKING
FLUF MBL,FLUFF IS SLANG FOR ACID (LSD)
FML LOL,FUCK MY LIFE
G WAGEN,"G=GANGSTER, THIS IS A KIND OF MBZ"
HLLCAT 7,"HELL, NO DODGE"
H8DGAME,HATE THE GAME
H8 STOCK,HATE
JASE 88,88NO 88 CAR
JMAX22L,22 CAN REFER TO A GUN
L FKN A,LOS FUCKING ANGELES
LNG4BCH,"BEACH OR BITCH, LIVES IN LONG BEACH"
MAFAKAH,MOTHERFUCKER
MIYFSAB,MY WIFES A B(ITCH)
MR CLIP,"CLIP (GUN, BULLETS)"
MSBADAS,BAD ASS
NOTADNB,NOT A DOWN BITCH
NVRSOBR,NEVER SOBER (ALWAYS DRUNK)
OLGY PPN,PIMPIN
PUNSR66,PUNISHER
STR8CRK,STRAIGHT CRACK-DRUGS
TACONEK,TACO=VAGINA
TACO TME,TACO=VAGINA
TATAS 6O,TATAS=BREASTS
TLCMBLD,BLOOD
TOY  14,HAS 2014 TOYOTA
TRAP BOY,TRAP=AREA WHERE DRUGS ARE SOLD
UKZIOK,YOU …SOMETHING? CANT FIND IT OR TRANSLATE IT
VAJAJAY,VAGINA
WIGAPLS,"WIGGA PLEASE, RACIALLY OFFENSIVE"
YAPS 14,HAS 2014 TOYT
ZMBYSLR,SLAYER=KILLER (OF ZOMBIES) ZMBSLYR is out
14OOHP V,NO 2014 CAR
1955XXX,XXX=PORN
38OSLMB,LMB=LICK MY BALLS
8ALINA8,"88=HATE SYMBOL, NO 88 CAR"
85OBTCC,"BITCH, THIS IS A KIND OF VOLVO THOUGH AND HE HAS ONE"
FU#PYME,"FUCK YOU, PAY ME"
I$CNUH8,I LOVE SEEING YOU HATE
N15$14A,14
PJ$JZZZ,JIZZ
PND$MBL,"POUND MOBILE, SEXUAL"
$S CACH,LOVES COCK
$TITAYZ,LOVE TITTIES
BLU&EYE,"BLUE, GANG COLOR"
BLUENVY,"BLUE, GANG COLOR"
HATCAT,NO DODGE
L9GAWD,"GAWD, DISRESPECTFUL SPELLING?"
INSAN MD,INSANE
BLKHMR,HAMMER MEANS PENIS
MOTRIN,MOTRIN=A RX DRUG
FQFNEV,FUCK EFFIN EVERYONE
HITMAN,KILLER
SUCWAD,SEXUAL AND RUDE
3PRCTR,"AN ANTI GOVERNMENT EXTREMIST MOVEMENT, 3 PERCENTER"
ARTFWAR,"WAR, TITLE OF A BOOK ABOUT WAR"
ATAXIA3,"IT IS A DISORDER, ATAXIA IS OUT"
BALOUCH,"BALLS, LAST NAME IS BALOCH"
BLK E,"BLACKIE, RACIAL?"
BLLNDRT,BALLIN OR BALLS IN THE DIRT
CHRE BMB,BOMB
CHUUGS,OFFENSIVE SLANG FOR AMERICAN INDIAN
COCHINO,"PIG, DIRTY PIG"
DEAD PR,DEAD PAIR
DEEPSTF,EUPHEMISM FOR DEEP SHIT
DRG N ME,DRUGS
FKDA9RS,FUCK THE NINERS
FLYNG V,V=VAGINA
GANGA,GANG
GTRACYM,GOT RACISM?
HOLYKAT,NO CAT CAR
ICATSIT,NO CAT CAR
IFNH8U2,I FUCKING HATE YOU TOO
JAMF CA,JIVE ASS MOTHERFUCKER
MNKYDZR,MONKEY=ASS
MYPAZZO,PAZZO=ITALIAN FOR CRAZY OR INSANE
MY5PIGS,PIG
POOPJOE,SHIT
RVR HRE,RIVER WHORE
SUZI Q5O,NO INFINITI OR MUSTANG
YDA14ME,14 HATE SYMBOL
41 GASSR,GASSER? THIS IS A TYPE OF CAR
415YEET,AREA CODE
MRDR RG,MURDER RIG
PHOOOBM,"BOOM, EXPLOSION"
GRANDEB,BIG B(ITCH)
KIKI DZ,KIKI=VAGINA IN TAGALOG
MIMI8O5,AREA CODE
PINK JP,PINK=PUSSY. SHE HAS A JEEP AND HER CURRENT PLATE IS PNKPYR8
SASEE G,G=GANGSTER
DSEL BOX,BOX CAN BE SLANG FOR VAGINA. HE HAS A 2015 MERCEDES DOESN'T LOOK BOS SHAPED
MF 911S,MF-MOTHER FUCKER. NOT HIS INTIALS
SIKAS69,SICK ASS. THEY DO HAVE A 69 CAR
PEG JANE,PEG LIKE PEGGING A SEXUAL PRACTICE. HIS NAME IS ROBERT SO NOT HIS NAME.
420LYRA,420 IS SLANG FOR MARIJUANA
5THFLWR,GOOGLE SHOWS FLORIST SHOPS BUT IT ALSO SHOW MARIJUANA PLANTS
DUBLE D,DOUBLE D
EST14,14-HITLER
LOL WTF,WHAT THE FUCK
MALIK88,88-HITLER
MEATSAC,SEXUAL
N9R5HO,SHO? NUMBERS FOR LETTERS? NGR SHO?
PINA707,707 CUSTOMER'S DAVIS AREA CODE
SALTYAF,SALTY AS FUCK
DBBLTP,DOUBLE TIP.. SEXUAL?
BLUIIII,BLUE
BLU RASP,BLUE
KCOC323,"323-LA, BEVERLY HILLS, INGLEWOOD AREA CODES"
4WD TACO,TACO-SEXUAL. CUSTOMER HAS A TOYOTA
AK 47,GUN
BIGXRED,RED
BLK4BLU,BLUE
BMER 13X,13 GANG REFERENCE
D MANUTD,LOOKS LIKE NUTTED SEXUAL REFERENCE
GOODWOD,WOD SEXUAL REFERENCE
HI TIMES,HIGH TIMES HIGH AS IN DRUGS
H8L8FR8,HATE LATE FREIGHT HATE
IG 88,88 HITLER REFERENCE
MC88SS,88 HITLER REFERENCE
MONKY19,MONKEY SEXUAL REFERENCE
MY 1 TACO,TACO SEXUAL REFERENCE
RAT L88,88 HITLER REFERENCE
SHZNATS,SHIZNITS SHIT
T88LTR8,88 HITLER REFERENCE
V 369AAA,AREA CODE SANTA ROSA
WL BONE,WILL BONE SEXUAL REFERENCE
1BLUIGI,BLUE
4BK 380,BK BLOOD KILLER GANG REFERENCE
565TT,TT BREAST SEXUAL REFERENCE
8BITFTW,FTW FUCK THE WORLD
88 RIP,88 HITLER REFERENCE
D$GATTO,GATO CAT
MOB&JJB,MOB AS IN GANG
HITTER,AS IN HITMAN
WPNWMN,WEAPON WOMAN
DA FISH,FISH SEXUAL REFERENCE
DISPRT U,DISREPECT YOU
DRV PINK,PINK SEXUAL REFERENCE
FURMOVR,LOOKS LIKE FUR REMOVER.. ONE WHO WAXES FUR CAN BE A SEXUAL REFERENCE OR COULD PERTAIN TO A GROOMER
KANG 559,559 AREA CODE FRESNO
LYF NHEL,LIFE IN HELL HELL
MY 64 AVE,64 AVE COULD BE A REFERENCE TO A STREET GANG
POONDGS,LOOKS LIKE POON DOGS .. POON IS A SLANG TERM FOR VAGINA
PRTNCRM,LOOKS LIKE PROTEIN CREAM
7LOVJ88,88 HITLER REFERENCE
88NSX88,88 HITLER REFERENCE
88XLUDE,88 HITLER REFERENCE
BUBA13,13-GANG NUMBER
CJ5 69,NO 69 CAR ON RECORD
BONEDAD,BONE-HARD ON CAN BE SEXUAL. LAST NAME IS BONER
BUFUNGU,"""BAFUNGA"" IS GO FUCK YOURSELF IN ITALIAN"
DF3NS,"""DFENS"" IS CURRENT I WOULD PULL BUT IS MEANING?"
EFF SPRT,EF IS SLANG FOR FUCK
GRINDIT,COULD BE SEXUAL
G4T,"""GAT"" IS CURRENT PULL FOR SUBSTITUTING"
IMTRIPN,"COULD BE A DRUG REFERENCES ""I'M TRIPPING"""
M KILLA,KILLA
OORALS,ORAL CAN BE SEXUAL. WHAT THEY SAY IS TRUE
PLZRNGS,PLEASURING-SEXUAL.  NGS-NIGS
RDMYPNY,RIDE MT PONY-SEXUAL. DOES HAVE A 1990 FORD
SX9TEEN,619 IS THEIR AREA CODE SAN DIEGO BUT WRITTEN OUT.
TOPMENO,"SEXUAL REFERENCE ""TOP ME NO"" BDSM. NO CAR REGISTERED."
YO STFU,STFU-SHUT THE FUCK UP
Z2Z7Z2Z,"LOOK A LIKE? ""ZZZZZZZ"" IS CURRENT"
69 CAMMY,SEXUAL. NO 69 CAR ON RECORD
$MYTACO,TACO CAN REFER TO VAGINA. SHE DOES HAVE A 2015 TOYOTA
RAY 14,14 HITLER RELATED
CASPER3,"LOOK A LIKE? ""CASPERE"" IS CURRENT"
F CANCR,F-FUCK
FNSLAYR,FN-FUCKEN. SLAYER-IS  BAND BUT DOES MEAN KILL SOMEONE
KESAFAT,"PERSIAN WORD MEANS ""DIRTY PIECE OF FILTH"" GOOGLE SAYS ""SHIT"""
PLZSTFU,"STFU-SHUT THE FUCK UP. ""PLEASE SHUT THE FUCK UP"""
SLAWAUA,COULDN'T TRANSLATE IT BUT GOOGLE IMAGES SHOWS A BUNCH OF GIRLS BUTTS.
GOFN MIK,FN-FUCK
SRFON13,13-GANG RELATED
AWESHET,AW SHIT
DATSA69,COULDN'T VERIFY 1969 CAR
DEZNUTZ,THESE NUTS
DIZNUTZ,THESE NUTS
EMORY 18,18-HITLER
GOTMY45,.45 GUN
HAK GWAI,BLACK PERSON IN CANTONESE
H8 ME,HATE
IH8 PVMT,HATE
I SFC415,415 IS CUSTOMERS SAN FRAN AREA CODE
MACDADY,PIMP. NO MCLAREN FOUND. NOT IN THE NAME.
PHKNVAN,FUCKIN VAN
18NOMA,18-HITLER
6HELLA9,COULDN'T VERIFY 1969 CAR
13$NEKO,13-GANG
BCH4ME,BEACH/BITCH FOR ME
FPD,FUCK PD?
GBC BOSS,"GBC IS GARDEN BLOCC CRIPS. A GANG IN THE MEADOWVIEW AREA MADE UP OF THE 21ST, 24TH AND 29TH STREET CRIPS."
GYMGANG,GANG… THERE WERE A FEW HIGH PROFILE CRIMES IN MIAMI IN THE MID 90'S BY A GROUP OF PEOPLE KNOWN AS THE SUN GYM GANG
HISNHRV,HIS AND HER V(AGINA)? CUSTOMER HAS A HONDA
IMMZRED,RED
ZEN8888,DOUBLE 88'S. BIRTHDATE IS 1/8/70
1DSLDVA,1 DICK SUCKING LIPS DIVA
13RUGBY,13-GANG
CMGZLR,CUM GUZZLER
HONDO13,13-GANG
BLU WATR,BLUE
BADDA6O,LOOKS LIKE BAD ASS 60
BAD64SS,LOOKS LIKE BAD 64 SS BUT ALSO LOOKS LIKE BADD ASS
COPTICS,COPS
CRPTFXR,CARPET FIXER CARPET IS ANOTHER NAME FOR  VAGINA
DATS 51O,510 AREA CODE
DM NUDES,NUDES
D532Q14,14 GANG REFERENCE
FUCKYOO,FUCK YOU
FY4 BCH,BCH LOOKS LIKE BITCH
GET SOME,GET SOME SEXUAL REFERENCE
GMEESUM,GIVE ME SOME
GTTNBLN,GETTING BLOWN
HEM14RT,14 GANG REFERENCE
HOA 8TR,HOME OWNERS ASSOCIATION HATER
IDGAF,I DON’T GIVE A FUCK
I LKE 69,69 SEXUAL REFERENCE
JEEP888,888 COULD BE MISTAKEN FOR 88 HITLER REFERENCE
LPINCHE,A CURDSE WORD IN SPANISH EL PINCHE
LS KILR,KILLER
MAFIA UP,MAFIA
OG MANX,OG ORIGINAL GANGSTER
OMW2FYW,ON MY WAY TO FUCK YOUR WIFE
QUAG  69,69 SEXUAL REFERENCE
QWIK 911,911 EMERGENCY ALSO A PORSCHE
RED KEY,RED
SHYAGRA,LOOKS LIKE VIAGRA
SLO ASF,SLOW AS FUCK
SNKY BKY,SNEAKY BECKY
SPD POOR,SPD SACRAMENTO POLICE DEPT OR SPD POOR AS IN SLOW
VWMAFIA,VOLKS WAGON MAFIA
V532Q14,14 GANG REFERENCE
14 RS,14 GANG REFERENCE
5TENDAT,510 AREA CODE
6CC9,69 SEXUAL REFERENCE
63 707HP,707 AREA CODE
69 LARKZ,69 SEXUAL REFERENCE
69 RI G,G GANGSTER
69RS SS,69 SEXUAL REFERENCE
69 9O2,69 SEXUAL REFERENCE
911,911 EMERGENCY
BROOD,LOOKS LIKE BROAD
FURFAN,FUR  FAN
SHUTUP#,SHUT UP
$BICHON,LOOKS LIKE LOVE BITCHIN
$BLKBLU,BLUE
$BOHDI8,LOOKS LIKE 18 HITLER REFERENCE
DURTY$D,"D IS CUSTOMERS FIRST INITIAL BUT ""D"" IS ALSO A SEXUAL REFERENCE FOR PENIS"
G$IANDO,G AS IN GANGSTER
G$UDA,G AS IN GANGSTER
$RAMS13,13 GANG REFERENCE
RDH$CHP,CHP CALIFORNIA HIGHWAY PATROL
725J13,13 GANG REFERENCE
BASMA 14,14 GANG REFERENCE
TUNA M,TUNA
666 MB,666 MARK OF THE BEAST
CUDA,SLANG FOR VAGINA
CUDA 53,SLANG FOR VAGINA
CUTCO88,HITLER REFERENCE
CUUUUDA,SLANG FOR VAGINA
DAB JLR,DAB DRUG REFERENCE
DZNY CAT,CAT
GOKATGO,CAT
HELLCATT,CAT
HUNDAL G,G AS IN GANGSTER
INSYNR8,TO BURN
KATIE OG,OG ORIGINAL GANGSTER
MADO51O,51O AREA CODE
MDICKEV,DICK
PC415,415 AREA CODE
RDNDRTY,RIDING DIRTY
YUH8TN4,WHY YOU HATING FOR
1HPYKAT,1 HAPPY KAT
1KRZYB,1 CRAZY BITCH
1PEWPEW,SOUND  A GUN MAKES
530 SNWR,530 AREA CODE
G GOMEZ,G AS IN GANGSTER
LNGDUDE,LONG DUDE SEXUAL REFERENCE
E3O M388,88 HITLER REFERENCE
G RIDE,G AS IN GANGSTA
T 13 HX,13 GANG REFERENCE
ZONA 213,AREA CODE
WEKTUM#,LOOKS AND SOUNDS CLOSE TO REKTUM
AVLA RED,RED
DK PINK,PINK
UGLY TIN,UGLY
MOTO CZY,CRAZY
BELLAB8,B8 LOOKS CLOSE TO 88 HITLER REFERENCE
BNB TNT,TNT
CASH 13,13-GANG
DUCK THS,FUCK THIS
HATE MEE,HATE
JCK BOY,JACK BOY IS A NICKNAME FOR A ROBBER
LOBO 626,626 IS CUSTOMERS PASADENA AREA CODE
SICCFKR,SICK FUCKER
TACOTRK,TACO TRUCK. HAS A 2015 TOYOTA
69 JO BA,69. COULDN’T CONFIRM 1969 VEHICLE
CRZ 88,88-HITLER.
WRX SHT,WRX SHIT
FEAR13,13-GANG
IIDH8TO,HATE IS STICKING OUT
MRMOWET,MR MORE WET
PHQSMLY,FUCK SMILEY
7T3 KTY,COULDN’T CONFIRM CUSTOMER'S VEHICLE. HOWEVER HE HAS A '73 FORD
UPYUURZ,UP YOURS
415 NCAL,415 CUSTOMERS SAN RAFAEL AREA CODE
BREKN NX,BREAKIN NECKS
B U C N,PITTSBURGH PIRATES
DVEL666,DEVIL 666
FRKNBUG,FRICKIN FUCKIN
LATYRL G,G AS IN GANGSTER
MMMTACO,TACO SEXUAL REFERENCE
NATE 18,18 HITLER REFERENCE
NAZIBUG,NAZI
OHPERKY,PERKY SEXUAL REFERENCE
PEZ G,G AS IN GANGSTER
PURPLES,PURPLES AS GRAPES AS IN MARIJUANA
RACN BOX,BOX AS IN VAGINA
RWB CRMZ,LOOKS LIKE RUBY CREAMS
SEBYZ 69,69 SEXUAL REFERENCE
TT LSX,TT LOOK LIKE TITTIES
ZL1 KLR,KILLER
13 TOOR,13 GANG REFERENCE
19NWA91,NWA(NIGGAS WITH ATTITUDE) IS APOPULAR RAP GROUP FORMED IN THE 1980 WHO WERE KNOWN FOR THEIR CONTROVERSIAL POLITICAL LYRICS AND WERE DISCRIMINATED AGAINST.
5150 ROB,5150 CRAZY
7 PNT 13,13 GANG TRANSLATION
8KHTJ88,88 HITLER REFERENCE
927 2X14,14 GANG REFERENCE
CTCRZY,CRAZY
#JP WVE,LOOKS LIKE JAP WAVE
$MF42FA,MF MOTHER FUCKER
BB,LOOKS LIKE 88 HITLER REFERENCE
BKK EDOK,BANGKOK GAY SAUNA
CQUEENB,SEE QUEEN BITCH
CUDA 7T,CUDA SLANG FOR VAGINA
EFFNOFF,FUCKING OFF
IH8 PP L,I HATE PEOPLE
I LIKE PI,I LIKE PIE
KISSMYSS,KISS MY ASS
NEWKTWN,NUCLEAR
REDBULL,RED BULL
RYNO 619,619 AREA CODE
SIG 88,HITLER REFERENCE
1HOTTA3,13 GANG REFERENCE
13 SIDHU,13 GANG REFERENCE
619,AREA CODE
626,AREA CODE
818 S60,818 AREA CODE
GRM RPR,GRIM REAPER
ND KXASS,KICKASS
WZUP FU,WHATS UP FUCK YOU
